Detected (True/False):         Color:                                             Runtime [s]:  
False                          []                                                 0.121110   
False                          []                                                 0.111142   
False                          []                                                 0.110940   
False                          []                                                 0.111237   
False                          []                                                 0.111181   
False                          []                                                 0.110747   
False                          []                                                 0.111131   
False                          []                                                 0.110923   
False                          []                                                 0.111047   
False                          []                                                 0.111107   
False                          []                                                 0.111655   
False                          []                                                 0.110739   
False                          []                                                 0.110877   
False                          []                                                 0.110738   
False                          []                                                 0.111228   
False                          []                                                 0.095644   
False                          []                                                 0.056008   
False                          []                                                 0.055825   
False                          []                                                 0.056040   
False                          []                                                 0.056141   
False                          []                                                 0.056038   
False                          []                                                 0.056000   
False                          []                                                 0.055956   
False                          []                                                 0.055982   
False                          []                                                 0.055969   
False                          []                                                 0.056122   
False                          []                                                 0.056118   
False                          []                                                 0.056108   
False                          []                                                 0.056051   
False                          []                                                 0.063059   
False                          []                                                 0.064461   
False                          []                                                 0.064729   
False                          []                                                 0.064373   
False                          []                                                 0.064592   
False                          []                                                 0.064499   
False                          []                                                 0.064491   
False                          []                                                 0.063521   
False                          []                                                 0.064670   
False                          []                                                 0.063191   
False                          []                                                 0.064450   
False                          []                                                 0.062712   
False                          []                                                 0.064275   
False                          []                                                 0.064613   
False                          []                                                 0.064562   
False                          []                                                 0.064525   
False                          []                                                 0.063680   
False                          []                                                 0.064451   
False                          []                                                 0.063201   
False                          []                                                 0.064590   
False                          []                                                 0.062387   
False                          []                                                 0.064595   
False                          []                                                 0.064890   
False                          []                                                 0.064436   
False                          []                                                 0.064616   
True                           ['orange']                                         0.069365   
True                           ['orange']                                         0.067666   
True                           ['orange']                                         0.066791   
True                           ['orange']                                         0.067685   
True                           ['orange']                                         0.068769   
True                           ['orange']                                         0.068659   
True                           ['orange']                                         0.068364   
True                           ['orange']                                         0.069391   
True                           ['orange']                                         0.069089   
True                           ['orange']                                         0.068510   
True                           ['orange']                                         0.069312   
True                           ['orange']                                         0.069691   
True                           ['orange']                                         0.068365   
True                           ['orange']                                         0.061033   
True                           ['orange']                                         0.063800   
True                           ['orange']                                         0.061021   
True                           ['orange']                                         0.060912   
True                           ['orange']                                         0.061045   
True                           ['orange']                                         0.061095   
True                           ['orange']                                         0.061318   
True                           ['orange']                                         0.060926   
True                           ['orange']                                         0.063475   
True                           ['orange']                                         0.063660   
True                           ['orange']                                         0.063389   
True                           ['orange']                                         0.063389   
True                           ['orange']                                         0.063577   
True                           ['orange']                                         0.063463   
True                           ['orange']                                         0.061007   
True                           ['orange']                                         0.060988   
True                           ['orange']                                         0.059382   
True                           ['orange']                                         0.058991   
False                          []                                                 0.074950   
False                          []                                                 0.123699   
False                          []                                                 0.111053   
False                          []                                                 0.111460   
False                          []                                                 0.111331   
False                          []                                                 0.111102   
False                          []                                                 0.110739   
False                          []                                                 0.110945   
False                          []                                                 0.110844   
False                          []                                                 0.110963   
False                          []                                                 0.110984   
False                          []                                                 0.111157   
False                          []                                                 0.110831   
False                          []                                                 0.110820   
False                          []                                                 0.110924   
False                          []                                                 0.110932   
False                          []                                                 0.111180   
True                           ['pink', 'orange']                                 0.117711   
True                           ['pink', 'orange']                                 0.125079   
True                           ['pink', 'orange']                                 0.134718   
True                           ['pink', 'orange']                                 0.129974   
True                           ['pink', 'orange']                                 0.130100   
True                           ['pink', 'orange']                                 0.112157   
True                           ['pink', 'orange']                                 0.068216   
True                           ['pink', 'orange']                                 0.064589   
True                           ['pink', 'orange']                                 0.067263   
True                           ['pink', 'orange']                                 0.066410   
True                           ['pink', 'orange']                                 0.066585   
True                           ['pink', 'orange']                                 0.064914   
True                           ['orange']                                         0.059596   
False                          []                                                 0.055729   
False                          []                                                 0.056047   
False                          []                                                 0.056039   
False                          []                                                 0.056201   
False                          []                                                 0.056072   
False                          []                                                 0.056166   
False                          []                                                 0.056282   
False                          []                                                 0.056253   
False                          []                                                 0.056085   
False                          []                                                 0.056281   
False                          []                                                 0.056053   
False                          []                                                 0.056422   
False                          []                                                 0.056103   
False                          []                                                 0.056278   
False                          []                                                 0.056128   
False                          []                                                 0.056213   
False                          []                                                 0.056071   
False                          []                                                 0.108310   
False                          []                                                 0.111326   
False                          []                                                 0.111146   
False                          []                                                 0.111150   
False                          []                                                 0.111245   
False                          []                                                 0.111186   
False                          []                                                 0.111147   
False                          []                                                 0.110931   
False                          []                                                 0.111466   
False                          []                                                 0.111170   
False                          []                                                 0.111182   
False                          []                                                 0.111136   
False                          []                                                 0.111073   
False                          []                                                 0.111090   
False                          []                                                 0.111120   
False                          []                                                 0.111454   
False                          []                                                 0.111344   
False                          []                                                 0.111103   
False                          []                                                 0.110997   
False                          []                                                 0.110981   
False                          []                                                 0.111225   
False                          []                                                 0.110996   
False                          []                                                 0.072337   
False                          []                                                 0.056073   
False                          []                                                 0.056114   
False                          []                                                 0.055962   
False                          []                                                 0.056153   
False                          []                                                 0.055948   
False                          []                                                 0.056142   
False                          []                                                 0.055918   
False                          []                                                 0.056384   
False                          []                                                 0.056116   
False                          []                                                 0.056334   
False                          []                                                 0.056179   
False                          []                                                 0.056396   
False                          []                                                 0.056211   
False                          []                                                 0.056267   
False                          []                                                 0.056254   
False                          []                                                 0.056170   
False                          []                                                 0.056129   
False                          []                                                 0.056201   
False                          []                                                 0.056233   
False                          []                                                 0.056259   
False                          []                                                 0.056711   
False                          []                                                 0.056113   
False                          []                                                 0.056277   
False                          []                                                 0.056154   
False                          []                                                 0.056236   
False                          []                                                 0.056319   
False                          []                                                 0.056149   
False                          []                                                 0.056229   
False                          []                                                 0.056064   
False                          []                                                 0.056118   
False                          []                                                 0.056157   
False                          []                                                 0.056296   
False                          []                                                 0.056078   
False                          []                                                 0.056357   
False                          []                                                 0.056012   
False                          []                                                 0.056245   
False                          []                                                 0.056055   
False                          []                                                 0.056289   
False                          []                                                 0.056390   
False                          []                                                 0.056154   
False                          []                                                 0.056070   
False                          []                                                 0.056187   
False                          []                                                 0.056228   
False                          []                                                 0.056082   
False                          []                                                 0.056143   
False                          []                                                 0.056176   
False                          []                                                 0.056243   
False                          []                                                 0.056218   
False                          []                                                 0.056141   
False                          []                                                 0.056404   
False                          []                                                 0.056217   
False                          []                                                 0.056112   
False                          []                                                 0.056141   
False                          []                                                 0.056229   
False                          []                                                 0.056273   
False                          []                                                 0.056216   
False                          []                                                 0.056180   
False                          []                                                 0.056245   
False                          []                                                 0.056098   
False                          []                                                 0.056438   
False                          []                                                 0.056191   
False                          []                                                 0.056136   
False                          []                                                 0.057729   
Detected (True/False):         Color:                                             Runtime [s]:  
Detected (True/False):         Color:                                             Runtime [s]:  
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.000996   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001993   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.002003   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.002994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
